"Ingredient","Class","Enabled development regimens","Legacy reference records","Source candidates","Registration review","Clinical sign-off"
"Cycloserine","TB / specialist","0","0","WHO · Childhood tuberculosis; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Dapsone","TB / specialist","0","0","WHO · Childhood tuberculosis; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Dicloxacillin","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Doxycycline","Antibacterial","1","0","PCH · Doxycycline; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Erythromycin","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Ethambutol","TB / specialist","0","0","WHO · Childhood tuberculosis; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Famciclovir","Antiviral","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Fidaxomicin","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Flucloxacillin","Antibacterial","0","6","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Fluconazole","Antifungal","2","0","PCH · Fluconazole; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Flucytosine","Antifungal","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Griseofulvin","Antifungal","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Isavuconazole","Antifungal","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Isoniazid","TB / specialist","0","0","WHO · Childhood tuberculosis; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Itraconazole","Antifungal","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Ivermectin","Antiparasitic","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Maribavir","Antiviral","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Mebendazole","Antiparasitic","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Methenamine","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Metronidazole","Antibacterial","1","5","RCH · Antimicrobial guidelines; CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Minocycline","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Moxifloxacin","Antibacterial","0","0","PCH · Moxifloxacin; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Nitrofurantoin","Antibacterial","2","0","PCH · Nitrofurantoin; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Nystatin","Antifungal","1","0","Chemists’ Own Nystatin · Product information; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Oseltamivir","Antiviral","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Phenoxymethylpenicillin","Antibacterial","0","1","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Posaconazole","Antifungal","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Pyrantel","Antiparasitic","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Pyrazinamide","TB / specialist","0","0","WHO · Childhood tuberculosis; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Rifampicin","TB / specialist","0","2","WHO · Childhood tuberculosis; CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Rifaximin","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Roxithromycin","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Sodium fusidate","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Sulfadiazine","Antibacterial","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Terbinafine","Antifungal","1","0","PCH · Terbinafine; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Tinidazole","Antiparasitic","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Trimethoprim","Antibacterial","1","0","RCH · Antimicrobial guidelines; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Trimethoprim + sulfamethoxazole","Antibacterial","0","3","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Valaciclovir","Antiviral","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Valganciclovir","Antiviral","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Vancomycin","Antibacterial","0","6","CHQ · Paediatric Antibiocard; PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
"Voriconazole","Antifungal","0","0","PCH · ChAMP resource collection","Current ARTG registration and supply have not been audited in this build. A source-listed strength is not a stock-availability claim.","Pending"
